"tid","title","term_description"
"720","Aiken County",""
"1676","Anderson School District 4",""
"1123","Berkeley County",""
"935","Columbia County School District",""
"53","District 5 of Richland and Lexington Counties",""
"1171","District 5 Schools of Spartanburg County",""
"724","Florence 01",""
"1129","Georgetown County",""
"1355","Greenbrier School District",""
"918","Greenville County Schools",""
"1162","Horry County Schools",""
"51","Kershaw County",""
"52","Lexington 1",""
"711","Lexington 2",""
"1403","Lexington 3",""
"712","Lexington 4",""
"1975","Newberry County School District",""
"1225","Oconee County","School District of Oconee County
"
"1136","Pickens County",""
"54","Richland 1",""
"55","Richland 2",""
"1063","Spartanburg District 2",""
"56","Sumter County",""
